area_code,date_code,years_to_live,sex,age,simd_quintiles,urban_rural_classification
S92000003,2016-2018,38.31,Male,40-44 years,All,Other urban areas
S92000003,2016-2018,57.01,Male,20-24 years,All,Other urban areas
S92000003,2016-2018,52.2,Male,25-29 years,All,Other urban areas
S92000003,2016-2018,61.88,Male,15-19 years,All,Other urban areas
S92000003,2016-2018,29.51,Male,50-54 years,All,Other urban areas
S92000003,2016-2018,42.86,Male,35-39 years,All,Other urban areas
S92000003,2016-2018,75.75,Male,1-4 years,All,Other urban areas
S92000003,2016-2018,47.5,Male,30-34 years,All,Other urban areas
S92000003,2015-2017,31.69,Male,50-54 years,All,Accessible rural
S92000003,2016-2018,78.8,Male,1-4 years,All,Accessible rural
S92000003,2016-2018,74.82,Male,5-9 years,All,Accessible rural
S92000003,2016-2018,64.87,Male,15-19 years,All,Accessible rural
S92000003,2016-2018,5.99,Male,85-89 years,All,Accessible rural
S92000003,2016-2018,8.36,Male,80-84 years,All,Accessible rural
S92000003,2016-2018,11.38,Male,75-79 years,All,Accessible rural
S92000003,2016-2018,79.62,Male,0 years,All,Accessible rural
S92000003,2016-2018,55.17,Male,25-29 years,All,Accessible rural
S92000003,2016-2018,18.7,Male,65-69 years,All,Accessible rural
S92000003,2016-2018,41.01,Male,40-44 years,All,Accessible rural
S92000003,2016-2018,36.35,Male,45-49 years,All,Accessible rural
S92000003,2016-2018,69.85,Male,10-14 years,All,Accessible rural
S92000003,2016-2018,31.75,Male,50-54 years,All,Accessible rural
S92000003,2016-2018,45.72,Male,35-39 years,All,Accessible rural
S92000003,2016-2018,50.41,Male,30-34 years,All,Accessible rural
S92000003,2016-2018,60.03,Male,20-24 years,All,Accessible rural
S92000003,2014-2016,74.73,Male,5-9 years,All,Accessible rural
S92000003,2014-2016,78.68,Male,1-4 years,All,Accessible rural
S92000003,2014-2016,4.15,Male,90 years,All,Accessible rural
S92000003,2014-2016,31.52,Male,50-54 years,All,Accessible rural
S92000003,2014-2016,69.31,Male,10-14 years,All,Remote rural
S92000003,2015-2017,74.24,Male,5-9 years,All,Remote rural
S92000003,2015-2017,14.71,Male,70-74 years,All,Remote rural
S92000003,2015-2017,45.39,Male,35-39 years,All,Remote rural
S92000003,2015-2017,50.1,Male,30-34 years,All,Remote rural
S92000003,2015-2017,78.15,Male,1-4 years,All,Remote rural
S92000003,2015-2017,6.03,Male,85-89 years,All,Accessible rural
S92000003,2015-2017,36.29,Male,45-49 years,All,Accessible rural
S92000003,2015-2017,22.79,Male,60-64 years,All,Accessible rural
S92000003,2015-2017,69.84,Male,10-14 years,All,Accessible rural
S92000003,2015-2017,18.64,Male,65-69 years,All,Accessible rural
S92000003,2015-2017,14.87,Male,70-74 years,All,Accessible rural
S92000003,2015-2017,55.15,Male,25-29 years,All,Accessible rural
S92000003,2015-2017,4.2,Male,90 years,All,Accessible rural
S92000003,2015-2017,27.13,Male,55-59 years,All,Accessible rural
S92000003,2014-2016,14.71,Male,70-74 years,All,Accessible rural
S92000003,2014-2016,22.64,Male,60-64 years,All,Accessible rural
S92000003,2015-2017,8.42,Male,80-84 years,All,Accessible rural
S92000003,2015-2017,11.4,Male,75-79 years,All,Accessible rural
S92000003,2014-2016,26.98,Male,55-59 years,All,Accessible rural
S92000003,2014-2016,42.96,Male,35-39 years,All,Other urban areas
S92000003,2014-2016,25.14,Male,55-59 years,All,Other urban areas
S92000003,2014-2016,33.88,Male,45-49 years,All,Other urban areas
S92000003,2014-2016,52.34,Male,25-29 years,All,Other urban areas
S92000003,2014-2016,29.44,Male,50-54 years,All,Other urban areas
S92000003,2014-2016,64.81,Male,15-19 years,All,Accessible rural
S92000003,2014-2016,59.98,Male,20-24 years,All,Accessible rural
S92000003,2015-2017,60.02,Male,20-24 years,All,Accessible rural
S92000003,2015-2017,79.55,Male,0 years,All,Accessible rural
S92000003,2014-2016,79.51,Male,0 years,All,Accessible rural
S92000003,2015-2017,50.4,Male,30-34 years,All,Accessible rural
S92000003,2014-2016,57.15,Male,20-24 years,All,Other urban areas
S92000003,2014-2016,38.36,Male,40-44 years,All,Other urban areas
S92000003,2015-2017,74.81,Male,5-9 years,All,Accessible rural
S92000003,2014-2016,8.31,Male,80-84 years,All,Accessible rural
S92000003,2014-2016,11.25,Male,75-79 years,All,Accessible rural
S92000003,2014-2016,5.95,Male,85-89 years,All,Accessible rural
S92000003,2016-2018,4.19,Male,90 years,All,Accessible rural
S92000003,2016-2018,22.82,Male,60-64 years,All,Accessible rural
S92000003,2016-2018,27.2,Male,55-59 years,All,Accessible rural
S92000003,2016-2018,14.91,Male,70-74 years,All,Accessible rural
S92000003,2015-2017,40.94,Male,40-44 years,All,Accessible rural
S92000003,2015-2017,78.75,Male,1-4 years,All,Accessible rural
S92000003,2015-2017,45.67,Male,35-39 years,All,Accessible rural
S92000003,2014-2016,69.79,Male,10-14 years,All,Accessible rural
S92000003,2014-2016,36.21,Male,45-49 years,All,Accessible rural
S92000003,2014-2016,40.85,Male,40-44 years,All,Accessible rural
S92000003,2014-2016,50.34,Male,30-34 years,All,Accessible rural
S92000003,2014-2016,18.47,Male,65-69 years,All,Accessible rural
S92000003,2014-2016,55.13,Male,25-29 years,All,Accessible rural
S92000003,2015-2017,64.86,Male,15-19 years,All,Accessible rural
S92000003,2014-2016,45.57,Male,35-39 years,All,Accessible rural
S92000003,2016-2018,75.21,Male,1-4 years,All,Large urban areas
S92000003,2014-2016,75.22,Male,1-4 years,All,Large urban areas
S92000003,2014-2016,37.41,Male,40-44 years,All,Large urban areas
S92000003,2014-2016,24.53,Male,55-59 years,All,Large urban areas
S92000003,2014-2016,20.53,Male,60-64 years,All,Large urban areas
S92000003,2014-2016,56.45,Male,20-24 years,All,Large urban areas
S92000003,2014-2016,7.8,Male,80-84 years,All,Large urban areas
S92000003,2014-2016,10.41,Male,75-79 years,All,Large urban areas
S92000003,2014-2016,42.02,Male,35-39 years,All,Large urban areas
S92000003,2014-2016,4.04,Male,90 years,All,Large urban areas
S92000003,2014-2016,5.58,Male,85-89 years,All,Large urban areas
S92000003,2014-2016,13.39,Male,70-74 years,All,Large urban areas
S92000003,2014-2016,16.79,Male,65-69 years,All,Large urban areas
S92000003,2016-2018,71.26,Male,5-9 years,All,Large urban areas
S92000003,2016-2018,75.9,Male,0 years,All,Large urban areas
S92000003,2016-2018,66.29,Male,10-14 years,All,Large urban areas
S92000003,2014-2016,61.35,Male,15-19 years,All,Large urban areas
S92000003,2014-2016,71.27,Male,5-9 years,All,Large urban areas
S12000041,1994-1996,73.46,Male,0 years,All,All
S12000008,1994-1996,6.54,Male,80-84 years,All,All
S12000008,1994-1996,21,Male,55-59 years,All,All
S12000008,1994-1996,13.78,Male,65-69 years,All,All
S12000026,1993-1995,40.73,Male,35-39 years,All,All
S12000038,1993-1995,57.02,Male,15-19 years,All,All
S12000026,1993-1995,3.34,Male,90 years,All,All
S12000008,1994-1996,25.39,Male,50-54 years,All,All
S12000045,1994-1996,4.79,Male,85-89 years,All,All
S12000011,1998-2000,19.62,Male,60-64 years,All,All
S12000011,1998-2000,37.45,Male,40-44 years,All,All
S12000011,1998-2000,71.35,Male,5-9 years,All,All
S12000045,1994-1996,70.43,Male,5-9 years,All,All
S12000008,1994-1996,8.33,Male,75-79 years,All,All
S12000011,1998-2000,42.35,Male,35-39 years,All,All
S12000011,1998-2000,6.74,Male,80-84 years,All,All
S12000008,1994-1996,48.5,Male,25-29 years,All,All
S12000011,1998-2000,32.7,Male,45-49 years,All,All
S12000008,1994-1996,4.89,Male,85-89 years,All,All
S12000008,1994-1996,57.78,Male,15-19 years,All,All
S12000011,1998-2000,15.76,Male,65-69 years,All,All
S12000045,1994-1996,36.37,Male,40-44 years,All,All
S12000011,1998-2000,47.12,Male,30-34 years,All,All
S12000038,1993-1995,71.37,Male,0 years,All,All
S12000026,1993-1995,14.65,Male,65-69 years,All,All
S12000008,1998-2000,8.41,Male,75-79 years,All,All
S12000008,1998-2000,17.59,Male,60-64 years,All,All
S12000045,1994-1996,9.02,Male,75-79 years,All,All
S12000042,1994-1996,8.57,Male,75-79 years,All,All
S12000008,1994-1996,39.23,Male,35-39 years,All,All
S12000008,1994-1996,43.84,Male,30-34 years,All,All
S12000011,1998-2000,61.45,Male,15-19 years,All,All
S12000011,1998-2000,9.36,Male,75-79 years,All,All
S12000008,1998-2000,21.79,Male,55-59 years,All,All
S12000011,1998-2000,4.95,Male,85-89 years,All,All
S12000026,1993-1995,11.33,Male,70-74 years,All,All
S12000008,1998-2000,63.43,Male,10-14 years,All,All
S12000008,1998-2000,4.68,Male,85-89 years,All,All
S12000048,2012-2014,31.61,Male,50-54 years,All,All
S12000038,1993-1995,52.16,Male,20-24 years,All,All
S12000008,1998-2000,10.89,Male,70-74 years,All,All
S12000048,2012-2014,64.6,Male,15-19 years,All,All
S12000011,1998-2000,3.18,Male,90 years,All,All
S12000038,1993-1995,61.95,Male,10-14 years,All,All
S12000026,1993-1995,4.69,Male,85-89 years,All,All
S12000041,1994-1996,72.68,Male,1-4 years,All,All
S12000048,2012-2014,59.7,Male,20-24 years,All,All
S12000008,1998-2000,68.4,Male,5-9 years,All,All
S12000008,1998-2000,72.34,Male,1-4 years,All,All
S12000008,1998-2000,13.96,Male,65-69 years,All,All
S12000048,2012-2014,69.58,Male,10-14 years,All,All
S12000048,2012-2014,50.23,Male,30-34 years,All,All
S12000027,1998-2000,64.54,Male,10-14 years,All,All
S12000026,1993-1995,26.8,Male,50-54 years,All,All
S12000026,1993-1995,35.92,Male,40-44 years,All,All
S12000026,1993-1995,6.45,Male,80-84 years,All,All
S12000026,1993-1995,22.52,Male,55-59 years,All,All
S12000042,1994-1996,3.78,Male,90 years,All,All
S12000008,1994-1996,17.12,Male,60-64 years,All,All
S12000008,1994-1996,3.96,Male,90 years,All,All
S12000008,1994-1996,34.5,Male,40-44 years,All,All
S12000034,1994-1996,31.76,Male,45-49 years,All,All
S12000026,1993-1995,18.41,Male,60-64 years,All,All
S12000034,1994-1996,27.18,Male,50-54 years,All,All
S12000011,1998-2000,12.41,Male,70-74 years,All,All
S12000027,1998-2000,59.54,Male,15-19 years,All,All
S12000026,1998-2000,7.02,Male,80-84 years,All,All
S12000038,1993-1995,70.83,Male,1-4 years,All,All
S12000008,1994-1996,29.91,Male,45-49 years,All,All
S12000045,1994-1996,18.66,Male,60-64 years,All,All
S12000042,1994-1996,10.95,Male,70-74 years,All,All
S12000042,1994-1996,4.81,Male,85-89 years,All,All
S12000038,1993-1995,13.13,Male,65-69 years,All,All
S12000038,1993-1995,3.29,Male,90 years,All,All
S12000042,1994-1996,6.59,Male,80-84 years,All,All
S12000045,1994-1996,27.12,Male,50-54 years,All,All
S12000045,1994-1996,11.89,Male,70-74 years,All,All
S12000008,1994-1996,10.71,Male,70-74 years,All,All
S12000011,1998-2000,75.87,Male,0 years,All,All
S12000048,2012-2014,40.81,Male,40-44 years,All,All
S12000011,1998-2000,56.52,Male,20-24 years,All,All
S12000027,1998-2000,49.93,Male,25-29 years,All,All
S12000008,1998-2000,26.1,Male,50-54 years,All,All
S12000008,1998-2000,39.94,Male,35-39 years,All,All
S12000008,1998-2000,6.11,Male,80-84 years,All,All
S12000008,1998-2000,3.31,Male,90 years,All,All
S12000011,1998-2000,51.85,Male,25-29 years,All,All
S12000027,1998-2000,74.24,Male,0 years,All,All
S12000045,1994-1996,6.67,Male,80-84 years,All,All
S12000026,1998-2000,4.11,Male,90 years,All,All
S12000011,1998-2000,75.35,Male,1-4 years,All,All
S12000026,1998-2000,5.25,Male,85-89 years,All,All
S12000027,1998-2000,54.66,Male,20-24 years,All,All
S16000088,2016-2018,63.45,Male,15-19 years,All,All
S16000088,2016-2018,53.8,Male,25-29 years,All,All
S16000088,2016-2018,49.27,Male,30-34 years,All,All
S16000088,2016-2018,58.54,Male,20-24 years,All,All
S16000087,2016-2018,13.37,Male,70-74 years,All,All
S16000087,2016-2018,7.56,Male,80-84 years,All,All
S16000087,2016-2018,4.17,Male,90 years,All,All
S16000087,2016-2018,10.32,Male,75-79 years,All,All
S16000091,2016-2018,74.71,Male,1-4 years,All,All
S16000091,2016-2018,75.52,Male,0 years,All,All
S16000091,2016-2018,51.2,Male,25-29 years,All,All
S16000091,2016-2018,46.47,Male,30-34 years,All,All
S16000091,2016-2018,41.68,Male,35-39 years,All,All
S16000088,2016-2018,44.77,Male,35-39 years,All,All
S16000091,2016-2018,60.82,Male,15-19 years,All,All
S16000091,2016-2018,37.08,Male,40-44 years,All,All
S16000088,2016-2018,18.38,Male,65-69 years,All,All
S16000088,2016-2018,35.56,Male,45-49 years,All,All
S16000088,2016-2018,22.21,Male,60-64 years,All,All
S16000088,2016-2018,26.63,Male,55-59 years,All,All
S16000088,2016-2018,31.13,Male,50-54 years,All,All
S16000088,2016-2018,40.16,Male,40-44 years,All,All
S16000089,2016-2018,17.72,Male,65-69 years,All,All
S16000089,2016-2018,21.44,Male,60-64 years,All,All
S16000089,2016-2018,3.49,Male,90 years,All,All
S16000089,2016-2018,13.84,Male,70-74 years,All,All
S16000089,2016-2018,25.59,Male,55-59 years,All,All
S16000089,2016-2018,47.98,Male,30-34 years,All,All
S16000089,2016-2018,29.93,Male,50-54 years,All,All
S16000089,2016-2018,34.35,Male,45-49 years,All,All
S16000087,2016-2018,33.84,Male,45-49 years,All,All
S16000087,2016-2018,16.97,Male,65-69 years,All,All
S16000087,2016-2018,5.33,Male,85-89 years,All,All
S16000087,2016-2018,29.77,Male,50-54 years,All,All
S16000089,2016-2018,5.37,Male,85-89 years,All,All
S16000089,2016-2018,7.72,Male,80-84 years,All,All
S16000087,2016-2018,25.34,Male,55-59 years,All,All
S16000091,2016-2018,70.77,Male,5-9 years,All,All
S16000091,2016-2018,65.82,Male,10-14 years,All,All
S16000089,2016-2018,72.07,Male,5-9 years,All,All
S16000088,2016-2018,77.96,Male,0 years,All,All
S16000088,2016-2018,73.45,Male,5-9 years,All,All
S16000091,2016-2018,55.91,Male,20-24 years,All,All
S16000088,2016-2018,77.45,Male,1-4 years,All,All
S16000088,2016-2018,68.45,Male,10-14 years,All,All
S16000089,2016-2018,43.41,Male,35-39 years,All,All
S16000089,2016-2018,67.07,Male,10-14 years,All,All
S16000089,2016-2018,62.07,Male,15-19 years,All,All
S16000089,2016-2018,38.84,Male,40-44 years,All,All
S16000089,2016-2018,76,Male,1-4 years,All,All
S16000089,2016-2018,77,Male,0 years,All,All
S16000089,2016-2018,10.39,Male,75-79 years,All,All
S16000087,2016-2018,71.24,Male,5-9 years,All,All
S16000086,2016-2018,34.99,Male,45-49 years,All,All
S16000086,2016-2018,30.47,Male,50-54 years,All,All
S16000086,2016-2018,39.57,Male,40-44 years,All,All
S16000085,2016-2018,10.63,Male,75-79 years,All,All
S16000085,2016-2018,13.9,Male,70-74 years,All,All
S16000085,2016-2018,67.15,Male,10-14 years,All,All
S16000085,2016-2018,5.41,Male,85-89 years,All,All
S16000085,2016-2018,25.5,Male,55-59 years,All,All
S16000085,2016-2018,29.68,Male,50-54 years,All,All
S16000085,2016-2018,7.69,Male,80-84 years,All,All
S16000085,2016-2018,21.38,Male,60-64 years,All,All
S16000085,2016-2018,76.15,Male,1-4 years,All,All
S16000085,2016-2018,76.96,Male,0 years,All,All
S16000085,2016-2018,47.89,Male,30-34 years,All,All
S16000085,2016-2018,17.61,Male,65-69 years,All,All
S16000085,2016-2018,62.15,Male,15-19 years,All,All
S16000085,2016-2018,72.15,Male,5-9 years,All,All
S16000086,2016-2018,77.94,Male,0 years,All,All
S16000084,2016-2018,14.57,Male,70-74 years,All,All
S16000084,2016-2018,43.95,Male,35-39 years,All,All
S16000084,2016-2018,18.15,Male,65-69 years,All,All
S16000084,2016-2018,22.2,Male,60-64 years,All,All
S16000084,2016-2018,67.93,Male,10-14 years,All,All
S16000084,2016-2018,48.51,Male,30-34 years,All,All
S16000084,2016-2018,39.4,Male,40-44 years,All,All
S16000084,2016-2018,35.06,Male,45-49 years,All,All
S16000085,2016-2018,34.13,Male,45-49 years,All,All
S16000084,2016-2018,11.18,Male,75-79 years,All,All
S16000085,2016-2018,38.55,Male,40-44 years,All,All
S16000085,2016-2018,43.22,Male,35-39 years,All,All
S16000084,2016-2018,8.32,Male,80-84 years,All,All
S16000084,2016-2018,6.13,Male,85-89 years,All,All
S16000084,2016-2018,4.29,Male,90 years,All,All
S16000087,2016-2018,61.29,Male,15-19 years,All,All
S16000087,2016-2018,75.98,Male,0 years,All,All
S16000087,2016-2018,47.31,Male,30-34 years,All,All
S16000087,2016-2018,56.43,Male,20-24 years,All,All
S16000086,2016-2018,5.65,Male,85-89 years,All,All
S16000083,2016-2018,17.83,Male,65-69 years,All,All
S16000087,2016-2018,42.64,Male,35-39 years,All,All
S16000087,2016-2018,51.76,Male,25-29 years,All,All
S16000086,2016-2018,58.24,Male,20-24 years,All,All
S16000086,2016-2018,22.24,Male,60-64 years,All,All
S16000087,2016-2018,75.18,Male,1-4 years,All,All
S16000086,2016-2018,62.94,Male,15-19 years,All,All
S16000086,2016-2018,18.25,Male,65-69 years,All,All
S16000087,2016-2018,66.24,Male,10-14 years,All,All
S16000086,2016-2018,26.18,Male,55-59 years,All,All
S16000086,2016-2018,67.94,Male,10-14 years,All,All
S16000086,2016-2018,44.16,Male,35-39 years,All,All
S16000083,2016-2018,21.6,Male,60-64 years,All,All
S16000086,2016-2018,53.34,Male,25-29 years,All,All
S16000085,2016-2018,52.61,Male,25-29 years,All,All
S16000085,2016-2018,57.34,Male,20-24 years,All,All
S16000086,2016-2018,48.85,Male,30-34 years,All,All
S16000086,2016-2018,11.07,Male,75-79 years,All,All
S16000086,2016-2018,14.48,Male,70-74 years,All,All
S16000083,2016-2018,5.45,Male,85-89 years,All,All
S16000086,2016-2018,8.24,Male,80-84 years,All,All
S16000086,2016-2018,3.84,Male,90 years,All,All
S16000083,2016-2018,14.34,Male,70-74 years,All,All
S16000083,2016-2018,7.99,Male,80-84 years,All,All
S16000083,2016-2018,11.11,Male,75-79 years,All,All
S16000088,2016-2018,8.47,Male,80-84 years,All,All
S16000088,2016-2018,11.26,Male,75-79 years,All,All
S16000088,2016-2018,14.46,Male,70-74 years,All,All
S16000088,2016-2018,4.85,Male,90 years,All,All
S16000088,2016-2018,6.22,Male,85-89 years,All,All
S16000090,2016-2018,54.26,Male,25-29 years,All,All
S16000090,2016-2018,49.66,Male,30-34 years,All,All
S16000090,2016-2018,59.02,Male,20-24 years,All,All
S16000090,2016-2018,63.83,Male,15-19 years,All,All
S16000084,2016-2018,62.93,Male,15-19 years,All,All
S16000084,2016-2018,53.2,Male,25-29 years,All,All
S16000084,2016-2018,57.93,Male,20-24 years,All,All
S16000090,2016-2018,31.04,Male,50-54 years,All,All
S16000090,2016-2018,73.83,Male,5-9 years,All,All
S16000091,2016-2018,7.4,Male,80-84 years,All,All
S16000090,2016-2018,77.83,Male,1-4 years,All,All
S16000090,2016-2018,68.83,Male,10-14 years,All,All
S16000090,2016-2018,44.99,Male,35-39 years,All,All
S16000090,2016-2018,40.17,Male,40-44 years,All,All
S16000091,2016-2018,20.15,Male,60-64 years,All,All
S16000090,2016-2018,8.43,Male,80-84 years,All,All
S16000090,2016-2018,4.62,Male,90 years,All,All
S16000090,2016-2018,6.08,Male,85-89 years,All,All
S16000090,2016-2018,11.15,Male,75-79 years,All,All
